[2024-01-10 22:46:42] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON 0 =  wiki.userID = user.id  AND 1 =  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:23:41] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:27:26] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:27:57] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:27:58] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:27:58] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:28:08] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:28:09] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:29:26] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:29:45] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:09] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:12] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:13] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:13] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:14] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:15] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:17] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:30:24] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:42:02] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:42:20] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:42:49] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:43:12] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:43:20] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
[2024-01-11 21:43:23] SELECT wiki.id,title,content,user.username,category,image,status  FROM wiki INNER JOIN user INNER JOIN category ON  wiki.userID  = user.id  AND  category.id = wiki.categoryID WHERE  1=1
